entry_time,exit_time,direction,pattern,entry,sl,tp,exit_price,pnl_points,bars_held,outcome,month
2025-02-20 14:25:00,2025-02-20 15:45:00,1,bb,2941.57,2935.85,2953.0100000000007,2935.85,-6.0200000000002545,16,SL,2025-02
2025-02-20 18:35:00,2025-02-20 21:35:00,-1,bb,2944.44,2948.6,2936.1200000000003,2936.1200000000003,8.019999999999708,36,TP,2025-02
2025-02-20 23:40:00,2025-02-21 01:45:00,-1,bb,2939.92,2943.23,2933.3,2943.23,-3.6099999999999453,13,SL,2025-02
2025-02-21 07:50:00,2025-02-21 10:20:00,-1,bb,2930.37,2937.11,2916.8899999999994,2916.8899999999994,13.180000000000472,30,TP,2025-02
2025-02-21 15:40:00,2025-02-21 17:20:00,1,bb,2929.9,2923.97,2941.7600000000007,2923.97,-6.230000000000291,20,SL,2025-02
2025-02-21 21:50:00,2025-02-24 02:50:00,1,bb,2934.13,2930.31,2941.7700000000004,2932.09,-2.3399999999999634,48,EOD,2025-02
2025-02-24 07:30:00,2025-02-24 07:55:00,1,bb,2940.66,2936.24,2949.5,2936.24,-4.720000000000073,5,SL,2025-02
2025-02-24 08:15:00,2025-02-24 12:15:00,1,bb,2938.5,2932.22,2951.0600000000004,2943.36,4.5600000000001275,48,EOD,2025-02
2025-02-25 01:20:00,2025-02-25 03:40:00,1,bb,2950.63,2945.25,2961.3900000000003,2945.25,-5.680000000000109,28,SL,2025-02
2025-02-25 04:00:00,2025-02-25 05:35:00,1,bb,2949.74,2943.41,2962.3999999999996,2943.41,-6.629999999999927,19,SL,2025-02
2025-02-25 09:15:00,2025-02-25 13:15:00,-1,bb,2937.77,2943.57,2926.1699999999996,2939.44,-1.9700000000000728,48,EOD,2025-02
2025-02-25 14:20:00,2025-02-25 14:40:00,-1,bb,2937.57,2944.32,2924.07,2924.07,13.2,4,TP,2025-02
2025-02-25 20:10:00,2025-02-25 23:05:00,-1,bb,2906.87,2915.31,2889.99,2915.31,-8.740000000000055,35,SL,2025-02
2025-02-25 23:25:00,2025-02-26 02:00:00,-1,bb,2915.91,2920.23,2907.2699999999995,2920.23,-4.6200000000001635,19,SL,2025-02
2025-02-26 04:00:00,2025-02-26 08:00:00,1,bb,2918.18,2912.26,2930.019999999999,2914.93,-3.55,48,EOD,2025-02
2025-02-26 14:10:00,2025-02-26 15:55:00,-1,bb,2914.24,2918.49,2905.74,2905.74,8.2,21,TP,2025-02
2025-02-26 22:15:00,2025-02-27 03:15:00,1,bb,2913.8,2909.01,2923.38,2914.85,0.7499999999997271,48,EOD,2025-02
2025-02-27 03:25:00,2025-02-27 04:45:00,1,bb,2913.76,2910.09,2921.1000000000004,2910.09,-3.9700000000000726,16,SL,2025-02
2025-02-27 12:35:00,2025-02-27 16:35:00,-1,bb,2890.75,2896.69,2878.87,2884.58,5.870000000000073,48,EOD,2025-02
2025-02-27 16:40:00,2025-02-27 20:40:00,-1,bb,2881.82,2894.54,2856.3800000000006,2884.85,-3.329999999999745,48,EOD,2025-02
2025-02-27 21:35:00,2025-02-27 22:20:00,1,bb,2879.79,2874.35,2890.67,2874.35,-5.740000000000054,9,SL,2025-02
2025-02-28 02:30:00,2025-02-28 03:05:00,-1,bb,2878.49,2882.99,2869.49,2882.99,-4.8,7,SL,2025-02
2025-02-28 03:10:00,2025-02-28 06:10:00,-1,bb,2878.66,2888.07,2859.8399999999992,2859.8399999999992,18.520000000000618,36,TP,2025-02
2025-02-28 08:30:00,2025-02-28 10:15:00,-1,bb,2864.71,2869.57,2854.99,2854.99,9.420000000000254,21,TP,2025-02
2025-02-28 11:25:00,2025-02-28 15:25:00,-1,bb,2862.41,2867.26,2852.709999999999,2857.15,4.959999999999764,48,EOD,2025-02
2025-02-28 18:10:00,2025-02-28 20:15:00,-1,bb,2851.69,2856.9,2841.27,2841.27,10.120000000000072,25,TP,2025-02
2025-02-28 21:40:00,2025-02-28 22:05:00,-1,bb,2847.98,2852.19,2839.56,2852.19,-4.510000000000036,5,SL,2025-02
2025-03-03 05:15:00,2025-03-03 09:15:00,1,bb,2862.95,2858.59,2871.669999999999,2862.5,-0.7499999999998181,48,EOD,2025-03
2025-03-03 10:40:00,2025-03-03 10:50:00,-1,bb,2864.95,2868.7,2857.45,2868.7,-4.05,2,SL,2025-03
2025-03-03 15:10:00,2025-03-03 18:45:00,1,bb,2874.83,2865.91,2892.67,2892.67,17.540000000000145,43,TP,2025-03
2025-03-03 20:40:00,2025-03-03 21:50:00,1,bb,2887.38,2883.55,2895.04,2883.55,-4.129999999999927,14,SL,2025-03
2025-03-03 22:00:00,2025-03-04 03:00:00,1,bb,2882.25,2875.31,2896.13,2890.18,7.6299999999998365,48,EOD,2025-03
2025-03-04 05:20:00,2025-03-04 09:20:00,-1,bb,2891.24,2895.84,2882.039999999999,2893.92,-2.980000000000291,48,EOD,2025-03
2025-03-04 16:50:00,2025-03-04 16:55:00,1,bb,2909.98,2904.28,2921.3799999999997,2904.28,-5.999999999999818,1,SL,2025-03
2025-03-05 01:50:00,2025-03-05 03:10:00,1,bb,2915.36,2911.52,2923.0400000000004,2911.52,-4.140000000000145,16,SL,2025-03
2025-03-05 05:50:00,2025-03-05 07:50:00,-1,bb,2909.5,2916.48,2895.54,2916.48,-7.280000000000018,24,SL,2025-03
2025-03-05 09:50:00,2025-03-05 12:55:00,1,bb,2914.75,2909.97,2924.3100000000004,2909.97,-5.0800000000002,37,SL,2025-03
2025-03-05 15:10:00,2025-03-05 15:30:00,1,bb,2913.61,2909.07,2922.69,2909.07,-4.839999999999963,4,SL,2025-03
2025-03-05 17:10:00,2025-03-05 18:15:00,-1,bb,2916.92,2924.69,2901.38,2924.69,-8.069999999999983,13,SL,2025-03
2025-03-05 19:45:00,2025-03-05 20:05:00,1,bb,2916.83,2912.51,2925.4699999999993,2912.51,-4.619999999999709,4,SL,2025-03
2025-03-05 20:15:00,2025-03-06 01:15:00,1,bb,2919.62,2908.32,2942.2199999999993,2917.16,-2.760000000000036,48,EOD,2025-03
2025-03-06 03:15:00,2025-03-06 03:40:00,-1,bb,2918.31,2922.32,2910.2899999999995,2922.32,-4.310000000000218,5,SL,2025-03
2025-03-06 05:50:00,2025-03-06 06:25:00,1,bb,2921.13,2917.11,2929.17,2917.11,-4.319999999999982,7,SL,2025-03
2025-03-06 13:35:00,2025-03-06 16:05:00,-1,bb,2905.54,2910.62,2895.38,2910.62,-5.379999999999927,30,SL,2025-03
2025-03-06 16:10:00,2025-03-06 16:45:00,-1,bb,2908.98,2914.3,2898.3399999999997,2914.3,-5.6200000000001635,7,SL,2025-03
2025-03-06 20:45:00,2025-03-06 22:55:00,1,bb,2916.06,2910.81,2926.56,2910.81,-5.55,26,SL,2025-03
2025-03-07 04:55:00,2025-03-07 07:30:00,-1,bb,2908.06,2912.16,2899.86,2912.16,-4.399999999999909,31,SL,2025-03
2025-03-07 12:25:00,2025-03-07 15:20:00,1,bb,2919.13,2914.16,2929.0700000000006,2914.16,-5.2700000000002545,35,SL,2025-03
2025-03-07 15:25:00,2025-03-07 15:35:00,1,bb,2912.4,2907.2,2922.8000000000006,2922.8000000000006,10.100000000000545,2,TP,2025-03
2025-03-07 22:20:00,2025-03-07 23:20:00,-1,bb,2907.03,2911.57,2897.9500000000003,2911.57,-4.839999999999963,12,SL,2025-03
2025-03-07 23:25:00,2025-03-10 01:05:00,-1,bb,2911.32,2914.84,2904.28,2914.84,-3.8199999999999816,8,SL,2025-03
2025-03-10 01:10:00,2025-03-10 04:10:00,-1,bb,2913.42,2918.12,2904.0200000000004,2918.12,-4.999999999999818,36,SL,2025-03
2025-03-10 04:30:00,2025-03-10 05:25:00,1,bb,2914.91,2909.61,2925.5099999999993,2909.61,-5.599999999999727,11,SL,2025-03
2025-03-10 09:10:00,2025-03-10 11:45:00,-1,bb,2910.66,2916.25,2899.4799999999996,2899.4799999999996,10.88000000000029,31,TP,2025-03
2025-03-10 15:30:00,2025-03-10 18:00:00,-1,bb,2905.47,2910.42,2895.5699999999993,2910.42,-5.250000000000273,30,SL,2025-03
2025-03-11 01:05:00,2025-03-11 05:05:00,-1,bb,2887.79,2893.14,2877.09,2891.58,-4.089999999999963,48,EOD,2025-03
2025-03-11 08:55:00,2025-03-11 11:30:00,1,bb,2895.74,2889.68,2907.8599999999997,2907.8599999999997,11.81999999999989,31,TP,2025-03
2025-03-11 15:20:00,2025-03-11 16:15:00,1,bb,2911.4,2907.46,2919.28,2907.46,-4.240000000000054,11,SL,2025-03
2025-03-11 16:20:00,2025-03-11 20:20:00,1,bb,2911.68,2903.81,2927.4199999999996,2915.91,3.9300000000000184,48,EOD,2025-03
2025-03-11 20:30:00,2025-03-12 01:30:00,1,bb,2917.41,2911.1,2930.0299999999997,2915.56,-2.149999999999909,48,EOD,2025-03
2025-03-12 01:40:00,2025-03-12 04:05:00,1,bb,2915.47,2911.46,2923.4899999999993,2911.46,-4.309999999999763,29,SL,2025-03
2025-03-12 05:35:00,2025-03-12 09:35:00,-1,bb,2916.6,2921.24,2907.32,2912.93,3.370000000000073,48,EOD,2025-03
2025-03-12 15:35:00,2025-03-12 16:25:00,-1,bb,2919.65,2926.19,2906.57,2906.57,12.779999999999927,10,TP,2025-03
2025-03-12 21:50:00,2025-03-12 22:55:00,1,bb,2935.37,2931.19,2943.7299999999996,2931.19,-4.479999999999836,13,SL,2025-03
2025-03-12 23:00:00,2025-03-13 04:00:00,1,bb,2932.11,2927.97,2940.390000000001,2940.390000000001,7.980000000000655,48,TP,2025-03
2025-03-13 04:50:00,2025-03-13 08:50:00,1,bb,2938.55,2933.49,2948.670000000001,2939.9,1.049999999999909,48,EOD,2025-03
2025-03-13 08:55:00,2025-03-13 10:10:00,1,bb,2940.04,2935.18,2949.76,2935.18,-5.160000000000127,15,SL,2025-03
2025-03-13 15:35:00,2025-03-13 17:40:00,1,bb,2945.63,2938.55,2959.79,2959.79,13.859999999999854,25,TP,2025-03
2025-03-14 03:45:00,2025-03-14 04:30:00,1,bb,2986.67,2981.88,2996.25,2981.88,-5.089999999999963,9,SL,2025-03
2025-03-14 04:35:00,2025-03-14 08:35:00,1,bb,2986.1,2978.63,3001.0399999999995,2984.63,-1.7699999999998,48,EOD,2025-03
2025-03-14 13:40:00,2025-03-14 16:35:00,1,bb,2990.17,2984.37,3001.7700000000004,2984.37,-6.100000000000182,35,SL,2025-03
