ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_only,P1,5.000,2.000,706,19.830,16.431,79.745,60.435,0.086,1.018,380.139,6.989,100.000,0.000,m1,ema21
ribbon_ema55,both,2.000,2.000,957,36.364,36.050,63.323,49.006,0.051,1.012,387.543,9.467,73.877,26.123,m1,ema21
ribbon_ema55,P1,5.000,2.000,689,19.739,16.691,79.826,23.700,0.034,1.007,352.930,6.821,100.000,0.000,m1,ema21
ribbon_only,both,2.000,3.000,881,35.187,34.620,64.132,12.759,0.014,1.003,417.825,8.715,76.731,23.269,m1,ema21
ribbon_ema55,both,2.000,3.000,871,35.476,35.132,63.835,7.279,0.008,1.002,365.010,8.616,75.201,24.799,m1,ema21
ribbon_only,P1,5.000,3.000,647,19.784,14.374,79.134,-3.684,-0.006,0.999,388.901,6.405,100.000,0.000,m1,ema21
ribbon_ema55,P1,3.000,3.000,711,27.004,25.457,72.433,-3.998,-0.006,0.999,409.315,7.038,100.000,0.000,m1,ema21
ribbon_ema55,P1,5.000,3.000,633,20.063,15.008,78.831,-15.110,-0.024,0.996,343.925,6.266,100.000,0.000,m1,ema21
ribbon_only,P1,3.000,3.000,728,26.648,24.863,72.802,-27.134,-0.037,0.993,474.307,7.206,100.000,0.000,m1,ema21
ribbon_ema100,P1,5.000,3.000,625,19.840,14.560,79.200,-28.345,-0.045,0.992,490.375,6.187,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,5.000,3.000,625,19.840,14.560,79.200,-28.345,-0.045,0.992,490.375,6.187,100.000,0.000,m1,ema21
ribbon_ema55_ema100,both,2.000,3.000,859,35.274,34.924,64.028,-37.068,-0.043,0.991,532.224,8.498,74.971,25.029,m1,ema21
ribbon_ema100,both,2.000,3.000,859,35.274,34.924,64.028,-37.068,-0.043,0.991,532.224,8.498,74.971,25.029,m1,ema21
ribbon_ema55_ema100,P1,4.000,2.000,715,22.797,21.119,76.923,-63.022,-0.088,0.981,421.986,7.078,100.000,0.000,m1,ema21
ribbon_ema100,P1,4.000,2.000,715,22.797,21.119,76.923,-63.022,-0.088,0.981,421.986,7.078,100.000,0.000,m1,ema21
ribbon_ema55_ema100,P1,4.000,3.000,658,22.188,18.997,77.204,-86.521,-0.131,0.976,535.458,6.514,100.000,0.000,m1,ema21
ribbon_ema100,P1,4.000,3.000,658,22.188,18.997,77.204,-86.521,-0.131,0.976,535.458,6.514,100.000,0.000,m1,ema21
ribbon_only,P1,4.000,2.000,739,22.733,21.110,76.861,-91.935,-0.124,0.974,429.345,7.315,100.000,0.000,m1,ema21
ribbon_ema100,both,1.500,3.000,949,41.728,41.517,57.850,-136.768,-0.144,0.968,670.770,9.388,75.342,24.658,m1,ema21
ribbon_ema55_ema100,both,1.500,3.000,949,41.728,41.517,57.850,-136.768,-0.144,0.968,670.770,9.388,75.342,24.658,m1,ema21
ribbon_ema55,P1,4.000,2.000,722,22.438,21.053,77.147,-171.339,-0.237,0.952,451.445,7.147,100.000,0.000,m1,ema21
ribbon_only,P1,4.000,3.000,680,21.471,18.382,77.794,-206.416,-0.304,0.946,529.196,6.731,100.000,0.000,m1,ema21
ribbon_ema55,P1,4.000,3.000,666,21.922,19.069,77.327,-213.761,-0.321,0.943,544.988,6.593,100.000,0.000,m1,ema21
ribbon_ema100,P1,2.000,3.000,779,34.660,34.403,64.827,-231.617,-0.297,0.939,654.372,7.711,100.000,0.000,m1,ema21
