Etc/UTC,Open,High,Low,Close,Volume
2026-05-29T03:47:00+00:00,4499.088,4499.625,4498.908,4499.015,12840
2026-05-29T03:48:00+00:00,4499.115,4499.705,4498.535,4499.365,13650
2026-05-29T03:49:00+00:00,4499.395,4499.745,4499.188,4499.745,15420
2026-05-29T03:50:00+00:00,4499.695,4500.315,4499.305,4499.958,14760
2026-05-29T03:51:00+00:00,4499.958,4500.195,4499.075,4499.478,17230
2026-05-29T03:52:00+00:00,4499.478,4500.025,4496.085,4496.935,34770
2026-05-29T03:53:00+00:00,4496.965,4498.415,4496.765,4498.385,20520
2026-05-29T03:54:00+00:00,4498.345,4499.415,4498.155,4499.415,17650
2026-05-29T03:55:00+00:00,4499.385,4501.345,4498.995,4500.685,22230
2026-05-29T03:56:00+00:00,4500.645,4501.325,4498.625,4499.495,35070
2026-05-29T03:57:00+00:00,4499.685,4500.605,4499.295,4500.305,19050
2026-05-29T03:58:00+00:00,4500.335,4500.995,4499.725,4500.365,15720
2026-05-29T03:59:00+00:00,4500.325,4501.155,4499.935,4501.085,17540
2026-05-29T04:00:00+00:00,4501.065,4503.285,4500.885,4503.285,19890
2026-05-29T04:01:00+00:00,4503.535,4505.215,4502.725,4504.105,32530
2026-05-29T04:02:00+00:00,4504.145,4504.975,4502.855,4504.335,27120
2026-05-29T04:03:00+00:00,4504.215,4504.655,4502.685,4502.945,20810
2026-05-29T04:04:00+00:00,4502.935,4503.435,4502.085,4502.465,18930
2026-05-29T04:05:00+00:00,4502.495,4502.495,4501.375,4501.945,15450
2026-05-29T04:06:00+00:00,4501.935,4502.485,4501.188,4502.105,15780
2026-05-29T04:07:00+00:00,4502.155,4502.788,4502.095,4502.388,14440
2026-05-29T04:08:00+00:00,4502.845,4503.585,4502.568,4502.585,20060
2026-05-29T04:09:00+00:00,4502.785,4503.065,4502.378,4503.065,15630
2026-05-29T04:10:00+00:00,4503.085,4503.305,4502.758,4503.115,16940
2026-05-29T04:11:00+00:00,4503.175,4503.295,4502.305,4502.605,18780
2026-05-29T04:12:00+00:00,4502.565,4502.785,4501.738,4502.505,20790
2026-05-29T04:13:00+00:00,4502.525,4502.545,4501.925,4502.085,11340
2026-05-29T04:14:00+00:00,4502.125,4502.595,4501.565,4502.235,11830
2026-05-29T04:15:00+00:00,4502.145,4504.435,4501.755,4504.335,26890
2026-05-29T04:16:00+00:00,4504.328,4504.645,4503.635,4503.825,17390
2026-05-29T04:17:00+00:00,4503.835,4504.835,4502.485,4502.755,23140
2026-05-29T04:18:00+00:00,4502.725,4503.975,4502.555,4503.975,16830
2026-05-29T04:19:00+00:00,4503.995,4504.835,4503.995,4504.415,14430
2026-05-29T04:20:00+00:00,4504.365,4505.655,4503.895,4505.475,20880
2026-05-29T04:21:00+00:00,4505.505,4506.535,4505.335,4506.075,21180
2026-05-29T04:22:00+00:00,4506.038,4506.085,4504.695,4505.965,19080
2026-05-29T04:23:00+00:00,4505.935,4510.095,4505.585,4510.065,30240
2026-05-29T04:24:00+00:00,4509.998,4511.325,4509.298,4510.235,36300
2026-05-29T04:25:00+00:00,4510.215,4511.115,4509.948,4510.948,33720
2026-05-29T04:26:00+00:00,4510.975,4511.378,4509.755,4510.058,23400
2026-05-29T04:27:00+00:00,4510.058,4510.605,4509.175,4509.555,30090
2026-05-29T04:28:00+00:00,4509.535,4509.905,4508.855,4509.005,20820
2026-05-29T04:29:00+00:00,4508.985,4509.525,4508.675,4508.965,27420
2026-05-29T04:30:00+00:00,4508.885,4510.345,4508.248,4509.865,28200
2026-05-29T04:31:00+00:00,4509.915,4510.145,4508.698,4509.018,23640
2026-05-29T04:32:00+00:00,4509.028,4509.138,4508.528,4508.795,20190
2026-05-29T04:33:00+00:00,4508.835,4509.275,4508.628,4508.938,14910
2026-05-29T04:34:00+00:00,4508.938,4509.375,4508.478,4508.805,20640
2026-05-29T04:35:00+00:00,4508.815,4510.715,4508.738,4510.185,18090
2026-05-29T04:36:00+00:00,4510.145,4510.245,4509.485,4509.835,12420
2026-05-29T04:37:00+00:00,4509.765,4509.925,4509.275,4509.815,14040
