ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode,sl_method
ribbon_ema100,P2,1.000,2.000,671,50.522,49.329,48.584,-223.240,-0.333,0.946,395.720,6.645,0.000,100.000,m1,swing3m
ribbon_ema55,both,3.000,3.000,835,31.497,16.527,63.114,-232.870,-0.279,0.967,593.980,8.259,78.683,21.317,m1,swing3m
ribbon_ema55_ema100,P2,1.500,3.000,586,40.785,36.689,57.338,-234.435,-0.400,0.949,531.625,5.803,0.000,100.000,m1,swing3m
ribbon_ema100,P2,1.500,3.000,586,40.785,36.689,57.338,-234.435,-0.400,0.949,531.625,5.803,0.000,100.000,m1,swing3m
ribbon_ema55,P2,3.000,2.000,530,30.000,17.358,67.547,-249.030,-0.470,0.942,439.130,5.249,0.000,100.000,m1,swing3m
ribbon_only,both,3.000,3.000,836,31.818,16.148,62.321,-260.840,-0.312,0.963,643.090,8.268,79.785,20.215,m1,swing3m
ribbon_ema55,both,3.000,2.000,915,30.601,17.377,64.809,-270.500,-0.296,0.963,757.950,9.050,77.923,22.077,m1,swing3m
ribbon_ema55_ema100,P2,2.000,3.000,549,35.337,27.687,61.931,-278.570,-0.507,0.939,520.630,5.437,0.000,100.000,m1,swing3m
ribbon_ema100,P2,2.000,3.000,549,35.337,27.687,61.931,-278.570,-0.507,0.939,520.630,5.437,0.000,100.000,m1,swing3m
ribbon_ema55,P1,3.000,2.000,906,30.574,17.660,64.790,-313.880,-0.346,0.955,766.040,8.961,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P2,3.000,3.000,508,30.709,17.126,66.142,-411.470,-0.810,0.908,656.900,5.031,0.000,100.000,m1,swing3m
ribbon_ema100,P2,3.000,3.000,508,30.709,17.126,66.142,-411.470,-0.810,0.908,656.900,5.031,0.000,100.000,m1,swing3m
ribbon_only,both,1.500,3.000,1084,41.144,34.686,53.413,-415.785,-0.384,0.951,812.045,10.721,80.812,19.188,m1,swing3m
ribbon_ema55_ema100,both,4.000,2.000,871,27.555,12.514,68.886,-421.980,-0.484,0.940,875.580,8.615,75.431,24.569,m1,swing3m
ribbon_ema100,both,4.000,2.000,871,27.555,12.514,68.886,-421.980,-0.484,0.940,875.580,8.615,75.431,24.569,m1,swing3m
ribbon_ema55,both,1.500,3.000,1089,41.047,34.986,53.903,-427.750,-0.393,0.951,825.550,10.771,79.522,20.478,m1,swing3m
ribbon_ema100,both,5.000,3.000,777,27.413,7.336,68.082,-466.960,-0.601,0.931,824.230,7.685,75.547,24.453,m1,swing3m
ribbon_only,P1,2.000,3.000,945,35.238,25.926,58.413,-470.360,-0.498,0.940,891.100,9.347,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,both,5.000,3.000,777,27.413,7.336,68.082,-472.280,-0.608,0.930,829.550,7.685,75.547,24.453,m1,swing3m
ribbon_only,both,2.000,3.000,957,35.946,26.332,57.994,-498.080,-0.520,0.939,949.810,9.465,80.042,19.958,m1,swing3m
ribbon_ema100,P2,3.000,2.000,528,28.977,17.424,68.182,-504.100,-0.955,0.885,703.340,5.229,0.000,100.000,m1,swing3m
ribbon_ema55_ema100,P2,3.000,2.000,528,28.977,17.424,68.182,-504.100,-0.955,0.885,703.340,5.229,0.000,100.000,m1,swing3m
ribbon_ema100,both,4.000,3.000,806,28.164,11.042,66.873,-509.400,-0.632,0.926,860.230,7.972,76.303,23.697,m1,swing3m
ribbon_ema55_ema100,both,4.000,3.000,806,28.164,11.042,66.873,-514.720,-0.639,0.926,860.230,7.972,76.303,23.697,m1,swing3m
ribbon_ema55,P1,2.000,3.000,942,34.926,26.008,59.236,-566.150,-0.601,0.928,887.860,9.317,100.000,0.000,m1,swing3m
ribbon_ema55_ema100,P1,4.000,2.000,853,27.315,12.192,68.816,-574.330,-0.673,0.915,980.400,8.437,100.000,0.000,m1,swing3m
ribbon_ema100,P1,4.000,2.000,853,27.315,12.192,68.816,-574.330,-0.673,0.915,980.400,8.437,100.000,0.000,m1,swing3m
ribbon_ema55,both,1.000,3.000,1337,49.439,46.746,46.447,-593.620,-0.444,0.936,759.560,13.224,81.077,18.923,m1,swing3m
ribbon_only,P1,2.000,2.000,1011,35.015,26.904,59.149,-599.960,-0.593,0.924,1016.050,9.999,100.000,0.000,m1,swing3m
ribbon_ema100,P1,3.000,3.000,854,30.796,17.330,64.988,-606.040,-0.710,0.916,912.500,8.447,100.000,0.000,m1,swing3m
