ma_combo,pattern,rr,sl_buf,trades,win_rate,tp_rate,sl_rate,net_pts,avg_trade_pts,profit_factor,max_dd_pts,trades_per_day,p1_share,p2_share,mode
ribbon_only,both,1.500,2.000,2463,40.235,39.911,59.399,-798.978,-0.324,0.917,1009.621,24.361,76.817,23.183,m1
ribbon_ema100,both,5.000,3.000,1307,19.663,12.854,79.495,-799.566,-0.612,0.891,1206.904,12.927,72.686,27.314,m1
ribbon_ema100,P1,4.000,2.000,1529,21.517,18.509,78.156,-803.698,-0.526,0.887,1096.207,15.123,100.000,0.000,m1
ribbon_ema55_ema100,P1,1.500,3.000,2029,39.921,39.379,59.537,-809.369,-0.399,0.905,1127.856,20.068,100.000,0.000,m1
ribbon_ema100,both,1.500,3.000,2196,39.754,39.299,59.745,-815.618,-0.371,0.916,1175.239,21.720,75.956,24.044,m1
ribbon_ema55,P1,4.000,3.000,1352,21.376,16.716,77.737,-817.280,-0.604,0.891,1097.272,13.372,100.000,0.000,m1
ribbon_ema55_ema100,both,1.500,3.000,2194,39.745,39.289,59.754,-821.327,-0.374,0.915,1180.948,21.700,75.980,24.020,m1
ribbon_ema55,P1,1.500,3.000,2036,39.637,39.145,59.774,-832.249,-0.409,0.905,1131.331,20.137,100.000,0.000,m1
ribbon_only,P1,4.000,3.000,1348,21.291,16.395,77.893,-866.783,-0.643,0.886,1113.893,13.332,100.000,0.000,m1
ribbon_ema55,both,1.500,3.000,2211,39.575,39.213,59.882,-872.887,-0.395,0.913,1129.562,21.868,76.662,23.338,m1
ribbon_only,P1,1.500,3.000,2045,39.315,38.826,60.098,-911.001,-0.445,0.898,1157.776,20.226,100.000,0.000,m1
ribbon_only,both,1.500,3.000,2210,39.276,38.914,60.181,-949.742,-0.430,0.906,1166.787,21.858,78.054,21.946,m1
ribbon_ema55_ema100,P1,4.000,3.000,1354,21.049,16.839,78.213,-987.488,-0.729,0.865,1350.260,13.392,100.000,0.000,m1
ribbon_ema100,P1,4.000,3.000,1353,20.990,16.778,78.271,-999.473,-0.739,0.863,1362.245,13.382,100.000,0.000,m1
ribbon_ema100,both,1.000,3.000,2644,48.676,48.676,51.021,-1008.758,-0.382,0.896,1150.282,26.151,77.421,22.579,m1
ribbon_ema100,P1,1.500,2.000,2189,39.196,38.831,60.439,-1019.616,-0.466,0.873,1257.533,21.650,100.000,0.000,m1
ribbon_ema55_ema100,P1,5.000,3.000,1275,18.980,12.941,80.235,-1021.843,-0.801,0.854,1203.449,12.610,100.000,0.000,m1
ribbon_ema55_ema100,both,1.000,3.000,2641,48.656,48.656,51.041,-1022.914,-0.387,0.894,1164.437,26.121,77.433,22.567,m1
ribbon_ema100,P1,5.000,3.000,1274,18.917,12.873,80.298,-1038.318,-0.815,0.851,1219.924,12.601,100.000,0.000,m1
ribbon_ema55_ema100,P1,1.500,2.000,2187,39.140,38.775,60.494,-1046.429,-0.478,0.870,1284.346,21.631,100.000,0.000,m1
ribbon_ema55,both,1.000,3.000,2673,48.597,48.522,51.141,-1060.515,-0.397,0.894,1199.286,26.438,77.740,22.260,m1
ribbon_ema100,P1,1.000,3.000,2381,48.761,48.803,50.861,-1060.883,-0.446,0.874,1285.162,23.550,100.000,0.000,m1
ribbon_ema100,both,1.000,2.000,2865,48.168,48.237,51.518,-1070.705,-0.374,0.882,1232.113,28.337,76.230,23.770,m1
ribbon_ema55_ema100,both,1.000,2.000,2864,48.149,48.219,51.536,-1075.662,-0.376,0.882,1237.070,28.327,76.222,23.778,m1
ribbon_ema55,P1,1.500,2.000,2206,39.211,38.803,60.471,-1080.027,-0.490,0.871,1308.921,21.818,100.000,0.000,m1
ribbon_ema55_ema100,P1,1.000,3.000,2379,48.718,48.760,50.904,-1082.613,-0.455,0.871,1306.892,23.530,100.000,0.000,m1
ribbon_only,P1,1.500,2.000,2238,39.321,38.874,60.411,-1125.029,-0.503,0.869,1351.360,22.135,100.000,0.000,m1
ribbon_ema55,P1,1.000,3.000,2398,48.582,48.540,51.084,-1148.778,-0.479,0.868,1363.874,23.718,100.000,0.000,m1
ribbon_only,both,1.000,3.000,2690,48.290,48.216,51.450,-1171.167,-0.435,0.885,1293.869,26.606,78.848,21.152,m1
ribbon_ema55,both,1.000,2.000,2910,48.110,48.110,51.581,-1175.707,-0.404,0.876,1328.263,28.782,76.632,23.368,m1
ribbon_only,P1,1.000,3.000,2419,48.202,48.160,51.468,-1265.279,-0.523,0.858,1444.073,23.926,100.000,0.000,m1
ribbon_only,both,1.000,2.000,2955,48.054,48.020,51.675,-1279.083,-0.433,0.868,1418.364,29.227,77.902,22.098,m1
ribbon_ema100,P1,1.000,2.000,2501,47.581,47.621,52.139,-1313.636,-0.525,0.832,1525.258,24.737,100.000,0.000,m1
ribbon_ema55_ema100,P1,1.000,2.000,2500,47.560,47.600,52.160,-1318.593,-0.527,0.831,1530.215,24.727,100.000,0.000,m1
ribbon_ema55,P1,1.000,2.000,2534,47.553,47.514,52.170,-1399.082,-0.552,0.828,1592.964,25.063,100.000,0.000,m1
ribbon_only,P1,1.000,2.000,2590,47.490,47.413,52.278,-1510.497,-0.583,0.820,1692.741,25.617,100.000,0.000,m1
